world,regime,true_mortality_improvement,true_migration_age_pattern,true_age_reporting_error,true_linkage_urban_gradient,true_administrative_completeness,true_missingness_target_dependence,read_mortality_improvement,read_migration_age_pattern,read_age_reporting_error,read_linkage_urban_gradient,read_administrative_completeness,read_missingness_target_dependence,drift_se
dev-00,development,0.03224226731200716,0.9738075589787639,0.7915168617952161,1.1335991269516652,1.0955063171275212,0.8393784912941057,0.03938380848838477,0.029901542701086935,0.1040491323287867,-0.008801093186791342,0.17640023166871732,-0.08063740471192204,0.012369546683144708
dev-01,development,0.017146307708648827,1.195286516341,1.9935555366689255,0.8016439841800187,1.3149561569890909,0.9683673501239373,0.1010654039926493,0.0516302999904164,0.13870646766169153,-0.013977320111469429,0.015805644824648957,-0.43772404665290576,0.01021551168528427
dev-02,development,0.047229631502573144,0.8409295868993197,1.8462665546886532,1.1869063591500326,0.6995469181351364,0.7665879623493465,0.21704523310807214,0.0073155257150938,0.17908384658454649,-0.01411252931779716,0.235509226932037,-0.3830657162326423,0.01234309623691878
dev-03,development,-0.009117909323253732,1.2212101924433185,0.827971802484513,1.0776140014149795,1.2502572110773553,0.6131587632376297,0.06777722490229338,0.07318876004512964,0.14547807046645878,-0.032229208641143814,0.11324636738984258,-0.01377105487403929,0.012502633138647452
dev-04,development,0.007556206249592808,0.6943026043464359,2.0183360035010973,0.3387920345620766,1.3701720989710344,1.1727515486363798,0.07737550431125047,0.011008485495078185,0.20833552228351282,-0.015647768233073435,0.07940480177884376,-0.37420245969435584,0.00976066269618418
dev-05,development,0.013683005415680337,0.5064021797001701,0.7216364354536943,1.2053124772131005,0.9817029811291461,1.0884172431123784,0.05022615538429976,-0.009390040848191044,0.1417817220176193,-0.026488569008130198,0.012596342454454455,-0.26869756409819967,0.010992638956252984
dev-06,development,0.028887236947379057,0.752396076389651,1.366709100660133,0.6779683997696558,1.5562780439268993,0.7662754905977079,0.09222836853777601,0.011659978307978831,0.15262362181496367,-0.00750275141089313,0.7522226792554874,-0.3546597695054974,0.009624564331438152
dev-07,development,0.022297884070404242,1.1695404268781162,0.7090680968769321,0.6350494959159271,0.6520392202623009,0.6481352625766447,0.08667565895900736,0.01815890676799113,0.12514757969303425,-0.003466913850762677,-0.43035804186200843,-0.2835654947709014,0.009130111794805848
dev-08,development,0.033923890084791394,1.2388310882935791,2.049722552339771,0.7118047679163199,0.8669647703132329,0.33473507140748504,0.03345772152569763,0.028001741254197906,0.14511914176666782,-0.01236748706953017,0.38541324084653866,-0.2253935586028315,0.014689621572389398
dev-09,development,0.003808971147119543,1.2046396568936126,1.7924678288212847,1.3563231369558348,0.5135652370516413,0.4122729255116767,0.11533817510282877,0.031319318686736104,0.14757113299969937,-0.028556101330320417,-0.09795600207993485,-0.4302530876401147,0.008993044067487004
dev-10,development,0.03800809343902977,0.3164551730425727,1.7437142412082065,1.5091775446449356,1.411395010361105,0.7103650730919774,0.1655388334316105,-0.006252346985521418,0.14911403258073735,-0.011518113567118397,0.12887655404837206,-0.31951848724186593,0.008914991504750695
dev-11,development,-0.0008160920694103349,0.7854615323025624,0.8380258200510164,0.8290094642271837,0.3985121315965262,0.37678628232774375,0.11409716204294038,0.0006668651535634367,0.14850619913703644,-0.028259293176872268,0.17306681890715392,-0.23300081159814257,0.009053198529397915
qual-0,hidden,0.011113548715513046,1.8979236069167373,0.9333335083575659,1.6993919644293682,0.462453636570173,0.6370740368239513,0.1200150931448754,0.06823902539360964,0.12641509433962264,-0.020064977368621565,0.01964450219125189,-0.19031915412369171,0.008923591073814451
qual-1,hidden,0.04635533729303713,2.3906733077604634,2.501919124627116,1.069152695853673,1.6297593720047523,1.4248092205541187,-0.021961306169943656,0.05123961930154442,0.19901639344262295,-0.011205591461019135,0.06316707560648065,-0.5424319619957907,0.00972347321812111
qual-2,hidden,-0.01596666081896535,2.3053433124605407,1.20042702383114,1.263152321839502,1.5585656805000476,1.2902339402055618,-0.16388479771674547,0.07482604458292101,0.10222608146510893,-0.02807651143567381,-0.029113581553913314,-0.4786066483525271,0.009214789803580628
qual-3,hidden,0.038089225838793345,0.2183210248644836,2.284080569976968,0.6159950345746041,1.2252905359632522,0.40732658278322337,0.15815493382016932,0.006619970960313663,0.15452961297678722,-0.004345531231867815,0.07901623958408262,-0.5360129357211556,0.009124108064207406
qual-4,hidden,0.07243247582505691,1.259353795534472,1.5909134195624741,0.5997029897534928,1.2206024266059325,0.21576421681154012,0.17966482731300185,0.06319635173380814,0.1573016627078385,-0.007341567563672294,-0.14182179320383723,-0.3626948169621964,0.008909682017295526
qual-5,hidden,0.04347847174683898,0.9434328596197232,2.13991371651621,1.3149161722799017,2.1420714976382413,1.1759696755372997,0.144521998450325,0.03301312331843331,0.17200490402666566,-0.008491428697675657,-0.22593085972899063,-0.4815422419639166,0.00961088585610613
