estimand,level,unit,estimate,lower,upper,sex,age_band
low_income_household_share,county,0,0.25085918366313203,0.12027606016191472,0.38144230716434935,,
low_income_household_share,county,1,0.2689054055616719,0.11086791616984762,0.42694289495349624,,
low_income_household_share,county,2,0.3637086737833907,0.14915588516463618,0.5782614624021453,,
low_income_household_share,county,3,0.25446196719851594,0.05919562045745211,0.4497283139395798,,
low_income_household_share,county,4,0.26159002986074,0.03829968291509009,0.48488037680638985,,
low_income_household_share,county,5,0.35167331263894747,0.22506462991731857,0.47828199536057636,,
low_income_household_share,county,6,0.32314007166940945,0.11960492521844021,0.5266752181203787,,
low_income_household_share,county,7,0.4316561658906954,0.2968673203726301,0.5664450114087607,,
low_income_household_share,county,8,0.3731518102041659,0.2444634274334195,0.5018401929749122,,
low_income_household_share,county,9,0.42813978911162703,0.29373452688294177,0.5625450513403123,,
low_income_household_share,county,10,0.33250138475900975,0.19547511899348308,0.46952765052453643,,
low_income_household_share,county,11,0.3686476455634497,0.24040286676663836,0.49689242436026104,,
low_income_household_share,county,12,0.41986793135515177,0.2863567969355818,0.5533790657747217,,
low_income_household_share,county,13,0.2777745555736607,0.11893154096005279,0.43661757018726866,,
low_income_household_share,county,14,0.28819353935694225,0.0847580401205229,0.4916290385933616,,
low_income_household_share,county,15,0.3855603681964421,0.2556299091901256,0.5154908272027586,,
low_income_household_share,county,16,0.34720031984997035,0.10458867586594828,0.5898119638339925,,
low_income_household_share,county,17,0.2549484779396631,0.05956849113374793,0.4503284647455782,,
low_income_household_share,nation,0,0.30118026049555036,0.2241324837518231,0.3782280372392776,,
low_income_household_share,state,0,0.2664406392527038,0.16917462189348648,0.3637066566119211,,
low_income_household_share,state,1,0.2748169607837399,0.14945543745217538,0.40017848411530443,,
low_income_household_share,state,2,0.34904864622363857,0.16092654360621775,0.5371707488410594,,
low_income_household_share,state,3,0.265749678304124,0.09428581836533786,0.4372135382429101,,
low_income_household_share,state,4,0.2965525874438512,0.09182535369783323,0.5012798211898692,,
low_income_household_share,state,5,0.38996176010215405,0.2898534448276258,0.4900700753766823,,
mean_income_adults,county,0,34055.34632932523,22487.637217445696,45623.055441204764,,
mean_income_adults,county,1,25248.723296394914,15645.750812103935,34851.69578068589,,
mean_income_adults,county,2,27421.379308046373,17711.595031113968,37131.16358497878,,
mean_income_adults,county,3,27344.47374656636,16250.406423305969,38438.54106982675,,
mean_income_adults,county,4,31744.76523022249,19376.86256649393,44112.667893951046,,
mean_income_adults,county,5,25280.172622700444,17290.684937257058,33269.66030814383,,
mean_income_adults,county,6,29504.54104100895,19210.20818963227,39798.87389238563,,
mean_income_adults,county,7,19109.524687835063,12892.858247776323,25326.191127893802,,
